"Method","SuperPop","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd","PC4_mean","PC4_sd","PC5_mean","PC5_sd"
"PC-AIR","EUR",-6.19494233953635e-05,0.0902753283443937,-0.000228724772779952,0.089651921516373,-6.12305911840181e-05,0.0877737237741827,-3.9147040831691e-05,0.0863878052258702,3.38095615600816e-05,0.0851763054672275
"Standard PCA","EUR",4.70695669277783e-18,0.0800640769025436,3.9335131047627e-18,0.0800640769025436,-1.46512313958296e-17,0.0800640769025435,-1.7148349265707e-17,0.0800640769025436,1.06956199028379e-17,0.0800640769025436
