"Method","SuperPop","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd","PC4_mean","PC4_sd","PC5_mean","PC5_sd"
"PC-AIR","SAS",0.00128750890460794,0.096586492511493,0.00120030228634651,0.093143757027998,0.00149553207487924,0.0913949763404821,-0.00161507415200818,0.0900774565168148,-0.00179122978692361,0.0889131439744981
"Standard PCA","SAS",-5.70571738711074e-18,0.0877058019307029,-6.38272301847955e-18,0.0877058019307029,3.56876318149427e-18,0.087705801930703,1.39969672832632e-17,0.087705801930703,-2.17552200808809e-17,0.087705801930703
