"Method","SuperPop","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd","PC4_mean","PC4_sd","PC5_mean","PC5_sd"
"PC-AIR","AFR",0.000518761348524444,0.0826420004646358,0.00235766145793772,0.0770800493140822,0.000505975310870978,0.0799197409764574,0.00175947214669248,0.0790588191680961,0.00144910272471243,0.0814010675791502
"Standard PCA","AFR",-2.75606628655192e-17,0.0751646028002829,1.49692992084291e-17,0.0751646028002829,1.36049099576608e-17,0.0751646028002829,1.17337475566072e-17,0.0751646028002829,1.21625556068486e-17,0.0751646028002829
