"Method","SuperPop","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd","PC4_mean","PC4_sd","PC5_mean","PC5_sd"
"PC-AIR","SAS",-0.00138227020257692,0.0974648515060343,5.47231818501804e-05,0.0971361968681217,-0.00100801770114411,0.0973646770749031,-0.000395403370434051,0.0972005598868773,-0.000430271455476827,0.0971676438700482
"Standard PCA","SAS",3.76775454034589e-17,0.0971285862357264,3.40459747621616e-18,0.0971285862357264,2.06667172990788e-17,0.0971285862357264,-7.52253918554428e-17,0.0971285862357264,-9.11135134111183e-18,0.0971285862357263
