"Method","SuperPop","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd","PC4_mean","PC4_sd","PC5_mean","PC5_sd"
"PC-AIR","EUR",-3.59911315116804e-17,0.101015254455221,-5.08151321245731e-17,0.101015254455221,-5.44247587513532e-17,0.101015254455221,5.11655813116392e-18,0.101015254455221,-4.06521056996585e-17,0.101015254455221
"Standard PCA","EUR",-3.59911315116804e-17,0.101015254455221,-5.08151321245731e-17,0.101015254455221,-5.44247587513532e-17,0.101015254455221,5.11655813116392e-18,0.101015254455221,-4.06521056996585e-17,0.101015254455221
